원문,번역문
우리 자체적으로 카메라와 4 MP DVR과의 호환성 테스트가 필요하니 모델명이나 브랜드를 알려주길 바랍니다.,"We need a internal compatibility test with the camera and 4MP DVR, so please tell us the model name or brand."
월미도 바이킹은 경사가 가파르기로 유명해요.,Wolmido Island Viking is famous for the steep slope.
눈 아래쪽과 눈가 전체에 가볍게 펴 바른 후 중지와 약지를 이용해 두드리듯 흡수시킵니다.,Spread below and throughout the eyes lightly and tap using the middle and ring finger to absorb.
내 동생은 오래전부터 도마뱀을 기르고 싶어 했어요.,My brother has wanted a pet lizard for a long time.
우리는 회원님의 정보를 안전하게 보호하기 위해 비밀번호를 다시 한번 확인합니다.,We have to check the password again to safeguard your information.
계획은 매뉴얼에 기초하여 지휘관 의도를 반영 후 세부적이고 엄격하게 수립해야 해요.,"Reflecting the intention of the commander, the plans, based on the manual, must be established in detail and rigorously."
"데릭씨, 기타에는 많은 종류들이 있어요.","Mr. Derek, there are many kinds of guitars."
가입 시 내 이메일 주소를 제출했어요.,I submitted my email address when registering.
"새로운 브랜드 ""STICK""은 무한한 가능성의 3D프린터를 직접 생산 가능합니다.",“STICK” is a new brand of 3D printer that can manufacture things itself with unlimited possibilities.
강아지는 예방접종을 모두 잘하였나요?,Was the dog vaccinated well fully?
내가 곁에 있으면 네가 맛있는 걸 먹을 수 있을 텐데.,You would have something delicious if I were next to you.
샘플만 기다리고 있었는데 또 사이즈를 물어보면 언제 제품을 받나요?,"Weve been waiting for the sample, but when are we getting the product if you are asking the size again?"
설날 전까지 물건을 만들어 보내주실 수는 없나요?,Can you send it before the lunar new year?
각각의 두 기관 모두 2대분에 대한 견적을 요청하였습니다.,Each of the 2 institutions requested for estimation of the 2 devices.
"가격은 3일에 3,000엔입니다.",It's three thousand yen for three days.
오늘은 내 친구의 지난 생일을 챙겨 주러 밖에 나갔어요.,I went to celebrate my friend's late birthday.
SERK 샘플 송부 건으로 메일 드립니다.,I'm sending you an email regarding the SERK sample delivery.
Drop의 뜻은 a와 b가 단종된다는 것이 아니라 2mp로 업그레이드할 수 없다는 것입니다.,"Drop does not mean a and b will discontinue, it means it cannot be upgraded to 2mp."
이곳에 특이한 건물이나 조형물도 있나요?,Are there interesting and unique buildings or sculptures here?
어제 고기를 많이 먹어서 그런지 속이 부대끼네요.,I feel stuffy because of all the meat I had yesterday.
내 첫사랑은 어디에 있나요?,Where is my first love?
나는 아이들을 좋아하고 사람들을 가르치는 걸 좋아합니다.,"I like kids, and I love teaching people."
나는 한 번도 여기서 옷을 산 적이 없어.,I've never bought any clothes here.
언제나 세상의 진보를 위하여 노력과 헌신을 다하는 당신에게 저는 경의를 표합니다.,I am paying my respect to your never-ending effort and devotion for the progression of the world.
다른 사람과 다른 것이 무조건 단점이겠는가.,Would it be a disadvantage to be different from others?
부모님이 좀 더 좋은 조화를 이루었으면 좋겠어.,I hope my parents had better harmony.
당신은 당신의 집에서 맛난 음식을 우리에게 대접해요.,You serve us delicious food at your place.
그녀는 키가 크고 단발머리를 하고 있습니다.,She is tall and has short hair.
나는 지금 배가 고파요.,I'm hungry now.
런던 올림픽에서 금메달 3개를 딴 북한의 역도도 한국의 적수입니다.,"North Korea's weight lifting, which has won 3 gold medals in the London Olympics, is another competition area of South Korea."
금요일에는 눈이 내렸고 토요일에는 비가 내렸습니다.,It snowed on Friday and rained on Saturday.
난 865점보다 높은 점수를 받은 사람처럼 영어를 구사할 수 있어.,I can speak English as someone who has a score of more than 865 points.
"만약 당신의 집에 셋톱 박스가 있다면, 거기에는 휴맥스라고 기록되어 있을 겁니다.","If you have a setup box at your house, there will be Humax written on it."
여자 선수들의 경기는 어떻게 됐는지 알아?,Do you know what happened to the female match?
나는 이 수업에 자신 있어.,I'm confident in this class.
Hero C 는 단순한 방치형 게임에 질려있던 많은 유저의 흥미를 유발할 것입니다.,Hero C will draw interest to many users who were fed up with simple negligent games.
교실에서 문제가 생겼을 때 교사가 잘 해결할 수 있습니다.,A teacher can solve a problem happens in the classroom.
이 도시에서는 그런 집을 찾기가 힘드네요.,"In this town, that's hard to find that kind of house."
손등을 보이면서 흔들어야 한다고 해요.,You should wave your hand by showing the back of your hand.
그녀는 적절한 사진에 신경을 많이 썼습니다.,She paid a great deal of attention to proper photos.
당신이 프라하 여행을 한 지 1년이 지났습니다.,It has been a year since you started traveling to Prague.
가치관용의 법칙은 학문적 자유에 관한 새로운 관점을 제시해요.,The principle of value-tolerance suggests a new perspective on academic freedom.
가발은 우리의 사이트에서 따로 추가해야 합니다.,You should order the wig separately with the main product.
나는 그 각각의 모습들이 요정이 아니면 갑자기 실현되기 힘들다는 것을 상상하게 됐어.,I came to imagine those as each of them is hard to be realized suddenly unless the fairy.
수영은 벌써 쉬러 갔나 봐.,I think suyoung Is already resting.
그때는 시험 기간도 아녀서 밤늦게까지 남아있는 학생은 없었습니다.,"At that time, no student was staying until late at night because it was not the test period."
외국에서 생일을 보낸 것은 처음입니다.,It's my first time spending my birthday abroad.
이제 빨리빨리 시작하세요.,Snap it up now.
그때는 절망적이었지만 지금은 다행이라고 생각해.,"At that time, it was hopeless, but now I think things were fortunate."
당신 차는 BMW 차인가요?,Is your car a BMW?
나는 미국인 친구를 사귀고 싶어.,I want to make an American friend.
나는 대학원에서 진로 상담을 전공하고 있다.,I major in career counseling in graduate school.
우리 회식 자리에서 사진도 함께 찍었었잖아요?,Didn't we take a photo together at the meeting?
거기엔 동물의 뼈가 더 있었기 때문이에요.,It was because there were more animal bones.
여긴 여자 직원들이 몇 명 있나요?,How many women staff work here?
저는 어제 가족들과 하이킹하러 갔어요.,I went hiking with my family yesterday.
사업중단에 따라서 계약이 취소되었습니다.,The contract is canceled since their business has stopped.
사람들은 특이하고 재미있는 것을 좋아해요.,People like special and funny things.
나는 강아지랑 계속 집에만 있기 심심해.,I'm bored to stay home with my dog.
그러면 페이팔을 통해 송장을 내가 환율을 적용해서 보내주겠다.,Then I will use the recent exchange rate and send the invoice to you using Paypal.
난 너 스스로 자랑스러워할 수 있는 인생을 살았으면 좋겠어.,I want you to live a life that you can be proud of.
"나도 직접 그려보았는데, 짧지만 굉장히 뿌듯하고 신기했습니다.",I tried this out myself and though it was short I felt proud of myself and was interesting.
소수자우대정책을 사실상 소수자우대정책이라 부를 수 없어.,We cannot call it a true affirmative action.
오직 이 나라 국민의 30%만이 평범합니다.,Only 30% of the people in this country are ordinary.
"네, 홈마트라고 큰 마트가 있어요.","Yes, there is big market called home mart."
모처럼 한가해서 친구와 커피를 마시기 위해 커피숍에 가고 있어요.,I headed to a coffee shop to drink coffee with my friend during my once in a while free time.
밤새고 나니까 이제는 피곤해요.,I'm tired now because I was up all night.
이제 블랙리스트파문은 정치검열로 상징되는 현 정부 문화예술정책의 뇌관을 건드리게 됐다.,Now Blacklist scandal opened up a new chapter to the policies of cultures and arts which is stands for censorship.
저는 그녀 생일선물로 무엇을 줘야 할까요?,What should I give her for her birthday gift?
아까 마트 갔다가 네 생각이 나서 혹시 집에 있으면 맛있는 거 사다 주려고 연락했었어.,"I thought of you on my way to the mart a moment ago, so I contacted you to buy you something tasty in case you are at home."
그냥 나 혼자 빨리 거기 갔다 올게요.,I'll just go there by myself quickly.
"경제성장률은 계속해서 내려가고 있고, 취업률은 매우 심각한 수준으로 낮은 수준에 머물러 있습니다.",Economic growth is continuing to decline and the employment rate remains at a very low level.
그전에 사랑한다고 말하지 못한 것이 후회됩니다.,I regret not being able to say I love you before.
그리고 내일 선주 검사 완료 후 두 번째 코팅 작업을 진행할 것입니다.,"Tomorrow, the second coating will proceed after finish owner inspection."
다음v달에 스쿠버 다이빙 하기 위해 필리핀에 갑니다.,I am going to the Philippines next month for scuba diving.
당신은 이 문제에 대해 해결방법이 있으신가요?,Do you have any method to resolve this problem?
"아니요, 칸이 세 개라서 어디에 넣어야 할지 모르겠어요.","No, I don't know where to put in because there are three shelves."
나는 네가 보는 거보다 더 나은 사람인가요?,Am I a better person than what you think about me?
IMF 도움으로 한국은 큰 위기는 모면했습니다.,Korea avoided big crises thanks to the IMF.
EGF는 상처를 치유하고 콜라젠을 합성하여 표피를 강화하며 주름 생성을 감소 시켜 줍니다.,EGF is also effective in treating cuts and reducing wrinkles by allowing collagen to enter through the epidermis.
"내면보다 외면을 중요시하는 외모지상주의로 인해서 스트레스, 우을증을 겪는 10대들이 증가하고 있습니다.","As lookism discrimination that looks matter much more than inside, the number of teenagers who get stressed and depression is increasing."
우리는 고객을 위해 존재합니다.,We are here for our customers.
